record_id,owner_name,guardian_name,state,district,tehsil,village,khasra_number,plot_number,land_use_type,land_area_sq_m,survey_year,latitude,longitude,document_id,upload_timestamp,Hash,QR_Image
1,Priya Singh,Vikas Pandey,Uttar Pradesh,Kanpur,Sadar,Shivpur,6358,452/4,Commercial,4180,2016,27.446145,81.156513,LANDDOC-10001,2026-03-14 11:37:43,5958356ed9bac564af571cf3748ad9b3a8daf3eac3f79569c8902869356c6049,qr_codes\qr_1.png
2,Sneha Dubey,Ankit Tiwari,Uttar Pradesh,Prayagraj,Meja,Basantpur,4720,130/4,Residential,649,2022,26.328576,80.107582,LANDDOC-10002,2026-03-14 11:37:43,9fa56773b55066149ee8b8a22f227dcdc88d8f16397aeea6b2ad88b2083651aa,qr_codes\qr_2.png
3,Pooja Yadav,Priya Singh,Uttar Pradesh,Lucknow,Phulpur,Kalyanpur,3170,416/4,Residential,1935,2016,26.16647,79.540426,LANDDOC-10003,2026-03-14 11:37:43,1edafa4f30058306fafd933a0ee1f467c4a4687183437eb87aa92bb1a63e99aa,qr_codes\qr_3.png
4,Sneha Dubey,Nidhi Saxena,Uttar Pradesh,Kanpur,Bikapur,Kalyanpur,3244,686/8,Commercial,372,2021,26.084397,80.400474,LANDDOC-10004,2026-03-14 11:37:43,54e9c6d5903a643e0661f22949b6e40557b8c72fbde8e558438f42097363134b,qr_codes\qr_4.png
5,Anjali Srivastava,Neha Gupta,Uttar Pradesh,Varanasi,Sadar,Basantpur,5918,583/1,Residential,4792,2023,27.436997,82.098718,LANDDOC-10005,2026-03-14 11:37:43,3880b7cc5188373c9c9effb922760d625d96a79634f745a86e407da756f6aeb1,qr_codes\qr_5.png
6,Amit Sharma,Priya Singh,Uttar Pradesh,Prayagraj,Phulpur,Basantpur,8246,628/1,Commercial,3496,2017,27.074473,81.668131,LANDDOC-10006,2026-03-14 11:37:43,3454fe7350ca1c40a9918d80daa156a355129909bb65036e16b53c59f27dbfa0,qr_codes\qr_6.png
7,Neha Gupta,Ravi Shukla,Uttar Pradesh,Prayagraj,Bikapur,Madhopur,1862,446/6,Residential,567,2015,25.782504,82.266831,LANDDOC-10007,2026-03-14 11:37:43,971a7bd67f6d3ca2b07b9df78a9df7283694e7c3addfe880c7521ccdace6379d,qr_codes\qr_7.png
8,Vikas Pandey,Ankit Tiwari,Uttar Pradesh,Sitapur,Sadar,Lakshmipur,7948,289/5,Residential,3028,2015,25.946492,81.244524,LANDDOC-10008,2026-03-14 11:37:43,89e4c53acdb6c3d1842aeed9095696b8ae7578930b53eb6ca68253d7db0c749e,qr_codes\qr_8.png
9,Saurabh Jain,Sneha Dubey,Uttar Pradesh,Varanasi,Malihabad,Madhopur,5281,277/4,Commercial,667,2022,25.58498,81.823997,LANDDOC-10009,2026-03-14 11:37:43,3a7b8062e2218edfb816c6a85bdc230b98dc45a98acc2f719fc2290ed6740ea8,qr_codes\qr_9.png
10,Arjun Singh,Amit Sharma,Uttar Pradesh,Lucknow,Meja,Madhopur,3144,412/9,Residential,3572,2021,26.65094,81.73088,LANDDOC-10010,2026-03-14 11:37:43,609d98030d804cb9dff018f6628f53c41ff862af2a8f7f11840621c39a7b3874,qr_codes\qr_10.png
11,Rahul Verma,Arjun Singh,Uttar Pradesh,Barabanki,Meja,Basantpur,2961,149/4,Residential,1412,2023,26.64942,82.228912,LANDDOC-10011,2026-03-14 11:37:43,098c6d24510765f1756d7092ab4159e9c10b9cafa02db67e2a514437c788582c,qr_codes\qr_11.png
